"func","file","line","expression","architectures","arm64_call_count","armv7_call_count","total_call_count"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1806","rctar.get_width() == w && rctar.get_height() == h","arm64;armv7","2","2","4"
"RegisterRenderMethod","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","2375","method && AllMethods.find(hash) == AllMethods.end()","arm64;armv7","1","1","2"
"CompileRenderMethod","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","2382","it == AllMethods.end()","arm64;armv7","1","1","2"
"OperateTriangles","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","3136","textures.size() == 1","arm64;armv7","1","1","2"
"OperatePerspective","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","4283","textures.size() == 1","arm64;armv7","1","1","2"
"build_codes","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/n
ns/AlphaMovie.cpp","306","nb + k <= 256","arm64;armv7","1","1","2"
"DecodeAC","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/AlphaMovie.cpp","397","s > 0","arm64;armv7","1","1","2"
"Decode1","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/AlphaMovie.cpp","433","l <= 16","arm64;armv7","1","1","2"
"DecodeFirstValue","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/AlphaMovie.cpp","460","s > 0","arm64;armv7","1","1","2"
"getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2084","FT_CURVE_TAG(*tags) == FT_CURVE_TAG_ON || FT_CURVE_TAG(*tags) == FT_CURVE_TAG_CONIC","arm64;armv7","1","1","2"
"getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2141","header + 2 <= last","arm64;armv7","1","1","2"
"getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2144","FT_CURVE_TAG(*tags) == FT_CURVE_TAG_CUBIC","arm64;armv7","1","1","2"
"getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2147","FT_CURVE_TAG(*tags) == FT_CURVE_TAG_CUBIC","arm64;armv7","1","1","2"
"getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2150","FT_CURVE_TAG(*tags) == FT_CURVE_TAG_ON","arm64;armv7","1","1","2"
"getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2156","false","arm64;armv7","1","1","2"
"CreateVariant","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/PSBFile.cpp","400","result->AsObjectNoAddRef()","arm64;armv7","1","1","2"
"PropGetByNum","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/PSBFile.cpp","613","result->AsObjectNoAddRef()","arm64;armv7","1","1","2"
"PropGet","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/PSBFile.cpp","632","result->AsObjectNoAddRef()","arm64;armv7","1","1","2"
"ripemd160_compress","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/ripemd160.c","192","self->bufpos == 64","arm64;armv7","1","1","2"
"ripemd160_process","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/ripemd160.c","280","p != NULL && length >= 0","arm64;armv7","1","1","2"
"ripemd160_process","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/ripemd160.c","283","self->bufpos < 64","arm64;armv7","1","1","2"
"xp3Access","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/sqlite3/xp3_vfs.cpp","293","!""Invalid flags argument""","arm64;armv7","1","1","2"
"transformDCBlock422","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/JXRTranscode.c","217","oOrientation < O_RCW","arm64","1","0","1"
"transformACBlocks422","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/JXRTranscode.c","284","oOrientation < O_RCW","arm64","1","0","1"
"initPostProc","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/postprocess.c","65","strPostProcInfo[j][i] != NULL","arm64","1","0","1"
"_peekBit16","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","73","0 <= (I32)cBits && cBits <= 16","arm64","1","0","1"
"_flushBit16","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","80","(pIO->iMask & 1) == 0","arm64","1","0","1"
"_flushBit16","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","80","0 <= (I32)cBits && cBits <= 16","arm64","1","0","1"
"_getHuffShort","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","164","iSymbol >= 0","arm64","1","0","1"
"DecodeBlock","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/decode/segdec.c","472","iSRn >= 0 && iSRn < 3","arm64","1","0","1"
