"binary","architecture","caller_function","caller_address","callsite","func","file","line","expression"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002F9CB8","0x1002f9cb8","0x1002fa4a4","getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2141","header + 2 <= last"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002F9CB8","0x1002f9cb8","0x1002fa4c4","getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2084","FT_CURVE_TAG(*tags) == FT_CURVE_TAG_ON || FT_CURVE_TAG(*tags) == FT_CURVE_TAG_CONIC"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100323154","0x100323154","0x1003232bc","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","46","x > static_cast<double>((int) (INT_MIN / 2)) - 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100323154","0x100323154","0x1003232dc","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","47","x < static_cast<double>((int) (INT_MAX / 2)) + 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100323154","0x100323154","0x1003232fc","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","46","x > static_cast<double>((int) (INT_MIN / 2)) - 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100323154","0x100323154","0x10032331c","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","47","x < static_cast<double>((int) (INT_MAX / 2)) + 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100323154","0x100323154","0x10032333c","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","46","x > static_cast<double>((int) (INT_MIN / 2)) - 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100323154","0x100323154","0x10032335c","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","47","x < static_cast<double>((int) (INT_MAX / 2)) + 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100323820","0x100323820","0x100323930","RegisterRenderMethod","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","2375","method && AllMethods.find(hash) == AllMethods.end()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100323B40","0x100323b40","0x100323bf0","CompileRenderMethod","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","2382","it == AllMethods.end()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100327740","0x100327740","0x10032846c","OperateTriangles","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","3136","textures.size() == 1"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003287E0","0x1003287e0","0x100329020","OperatePerspective","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","4283","textures.size() == 1"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100329280","0x100329280","0x1003293e4","Update","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","869","rc.left == 0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1003295B4","0x1003295b4","0x100329608","Update","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","337","rc.left == 0 && rc.top == 0 && Format == format"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100329658","0x100329658","0x10032967c","SetPoint","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","347","false"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032A088","0x10032a088","0x10032a0ac","GetScanLineForWrite","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","449","0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032A0B0","0x10032a0b0","0x10032a0d4","Update","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","454","0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032AEB8","0x10032aeb8","0x10032af48","DecompressLineData","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","629","n == blk.Length"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032B3E0","0x10032b3e0","0x10032b630","DecompressLineData","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","745","n == blk.Length"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032BF74","0x10032bf74","0x10032c164","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","953","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032BF74","0x10032bf74","0x10032c184","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","955","h == rcdst.get_height() && w == rcdst.get_width()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032C224","0x10032c224","0x10032c414","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","953","_tar == _dst && rctar == rcdst"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10032C224","0x10032c224","0x10032c434","DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","955","h == rcdst.get_height() && w == rcdst.get_width()"
