ordinal	kind	member	local_macro	android_arm64_name	android_arm64_publish	android_arm64_callbacks_unordered_if_pair	android_armv7_name	android_armv7_publish	android_armv7_callbacks	ios_arm64_name	ios_arm64_publish	ios_arm64_callbacks	ios_armv7_name	ios_armv7_publish	ios_armv7_callbacks	registration_status	body_status
70	METHOD	getLayerNames	NCB_METHOD	0x14D65F6	0x6D5CB0	0x6CE4C0	0xD85EF4	0x59866C	0x594798	0x10195CE1C	0x100125054	0x10011FE88	0x174F180	0x1242AC	0x11EB7C	EVIDENCED_4_4	IMPLEMENTED
71	RAW_METHOD	play	NCB_METHOD_RAW_CALLBACK	0x14BD70A	0x6D5D04	0x6CFFE8	0xD75F56	0x598680	0x59565C	0x10195CE38	0x100125070	0x1001212C0	0x174F19C	0x1242C8	0x120050	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
72	RAW_METHOD	progress	NCB_METHOD_RAW_CALLBACK	0x14BEE6C	0x6D5D50	0x6CFE78	0xD76C48	0x598694	0x595598	0x10195CE42	0x10012508C	0x100121204	0x174F1A6	0x1242E4	0x11FFB4	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
73	TYPED_DETAIL_METHOD	clear	NCB_METHOD_DETAIL	0x14BD6CE	0x6D5DC0	0x6D0160	0xD767CE	0x5986AA	0x595720	0x10195BF68	0x1001250AC	0x10012139C	0x174E2CC	0x124302	0x120168	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
74	METHOD	stop	NCB_METHOD	0x14BD714	0x6D5DDC	0x6D6E10	0xD75F60	0x5986C0	0x599118	0x10195CE54	0x1001250CC	0x100125938	0x174F1B8	0x124320	0x124B2E	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
75	METHOD	setCameraOffset	NCB_METHOD	0x14D3F74	0x6D5DF8	0x6D6E18	0xD8492A	0x5986D6	0x599120	0x10195CE5E	0x1001250EC	0x100125940	0x174F1C2	0x12433E	0x124B36	EVIDENCED_4_4	IMPLEMENTED
76	METHOD	getCameraOffset	NCB_METHOD	0x14D3F54	0x6D5E78	0x6CDE90	0xD8490A	0x5986EC	0x59441C	0x10195CE7E	0x10012510C	0x10011F6EC	0x174F1E2	0x12435C	0x11E220	EVIDENCED_4_4	IMPLEMENTED
77	METHOD	releaseSyncWait	NCB_METHOD	0x14D6612	0x6D5E94	0x6D6E28	0x598BF8	0x598700	0x59913A	0x10195CE9E	0x10012512C	0x100125954	0x174F202	0x12437A	0x124B54	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
78	TYPED_DETAIL_METHOD	draw	NCB_METHOD_DETAIL	0x14D3DEA	0x6D5F14	0x6D3398	0xD84784	0x598716	0x597864	0x10195CEBE	0x10012514C	0x100123C84	0x174F222	0x124398	0x122F28	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
79	METHOD	setDrawAffineTranslateMatrix	NCB_METHOD	0x14D3F1A	0x6D5F84	0x6D22F4	0xD848D0	0x59872C	0x596C40	0x10195CEC8	0x10012516C	0x100122D54	0x174F22C	0x1243B6	0x121D90	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
80	METHOD	contains	NCB_METHOD	0x14BEEC8	0x6D5FF4	0x6D071C	0xD76C6C	0x598742	0x595AF8	0x10195B27C	0x10012518C	0x1001218E8	0x174D5E0	0x1243D4	0x12065C	EVIDENCED_4_4	IMPLEMENTED
81	METHOD	calcViewParam	NCB_METHOD	0x14D6632	0x6D6064	0x6CE908	0x598C34	0x598756	0x594958	0x10195CF02	0x1001251AC	0x1001201CC	0x174F266	0x1243F2	0x11EED4	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
82	METHOD	getCommandList	NCB_METHOD	0x14D4204	0x6D60D4	0x6D0E2C	0xD84B8A	0x59876C	0x595FF0	0x10195CF1E	0x1001251CC	0x100121EB0	0x174F282	0x124410	0x120CF8	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
83	METHOD	getLayerMotion	NCB_METHOD	0x14D664E	0x6D6144	0x6D0D78	0xD85F10	0x598782	0x595F74	0x10195CF3C	0x1001251EC	0x100121E38	0x174F2A0	0x12442E	0x120C2C	EVIDENCED_4_4	IMPLEMENTED
84	METHOD	getLayerGetter	NCB_METHOD	0x14D666C	0x6D61B4	0x6D0CD4	0xD85F2E	0x598798	0x595EF4	0x10195CF5A	0x10012520C	0x100121D64	0x174F2BE	0x12444C	0x120B2C	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
85	METHOD	getLayerGetterList	NCB_METHOD	0x14D668A	0x6D621C	0x6D2368	0xD85F4C	0x5987AE	0x596CD4	0x10195CF78	0x10012522C	0x100122DC0	0x174F2DC	0x12446A	0x121E18	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
86	METHOD	skipToSync	NCB_METHOD	0x14D66B0	0x6D6238	0x6D08E4	0xD85F72	0x5987C4	0x595C48	0x10195CF9E	0x10012524C	0x100121A78	0x174F302	0x124488	0x1207F8	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
87	METHOD	onAction	NCB_METHOD	0x14D6152	0x6D62B8	0x6D6E30	0xD85B14	0x5987DA	0x599142	0x10195C6F0	0x10012526C	0x10012595C	0x174EA54	0x1244A6	0x124B5C	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
88	METHOD	onSync	NCB_METHOD	0x14D6144	0x6D62D4	0x6D6E34	0xD85B06	0x5987F0	0x599144	0x10195C6E2	0x10012528C	0x100125960	0x174EA46	0x1244C4	0x124B5E	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
89	METHOD	onGroundCorrection	NCB_METHOD	0x14D60E2	0x6D6354	0x6D6E38	0xD85AD4	0x598806	0x599146	0x10195C64A	0x1001252AC	0x100125964	0x174E9AE	0x1244E2	0x124B60	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
90	METHOD	onFindMotion	NCB_METHOD	0x14D5CC4	0x6D63C4	0x6D6E40	0xD8572C	0x59881C	0x599152	0x10195C1CC	0x1001252CC	0x10012596C	0x174E530	0x124500	0x124B6C	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
91	METHOD	isExistMotion	NCB_METHOD	0x14D5A22	0x6D6434	0x6CDBD4	0xD85542	0x598832	0x5942F4	0x10195BED0	0x1001252EC	0x10011F558	0x174E234	0x12451E	0x11E054	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
92	METHOD	setStereovisionCameraPosition	NCB_METHOD	0x14D66C6	0x6D64A4	0x6CD420	0x598CA4	0x598846	0x593F44	0x10195CFB4	0x10012530C	0x10011F54C	0x174F318	0x12453C	0x11E038	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
