ordinal	kind	member	local_macro	android_arm64_name	android_arm64_publish	android_arm64_callbacks_unordered_if_pair	android_armv7_name	android_armv7_publish	android_armv7_callbacks	ios_arm64_name	ios_arm64_publish	ios_arm64_callbacks	ios_armv7_name	ios_armv7_publish	ios_armv7_callbacks	registration_status	body_status
21	RW_PROPERTY	tickCount	NCB_PROPERTY	0x14D6408	0x6D47D8	0x6D6AA0|0x6D6A80	0xD85D16	0x598142	0x598ED0|0x598F00	0x10195CB0A	0x100124894	0x1001255C0|0x1001255E0	0x174EE6E	0x123B9A	0x1247C4|0x1247F0	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
22	RW_PROPERTY	frameTickCount	NCB_PROPERTY	0x14D641C	0x6D4850	0x6BE2D4|0x6D6AE0	0xD85D2A	0x598160	0x598F68|0x58A490	0x10195CB1E	0x1001248C0	0x100125620|0x1001138E8	0x174EE82	0x123BC4	0x12484C|0x1112EC	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
23	RW_PROPERTY	cameraActive	NCB_PROPERTY	0x14D643A	0x6D48C8	0x6D6AF0|0x6D6AE8	0xD85D48	0x59817E	0x598F72|0x598F78	0x10195CB3C	0x1001248EC	0x100125628|0x100125630	0x174EEA0	0x123BEE	0x124856|0x12485C	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
24	RW_PROPERTY	stereovisionActive	NCB_PROPERTY	0x14D6454	0x6D4940	0x6D6B04|0x6D6AFC	0xD85D62	0x59819C	0x598F7E|0x598F84	0x10195CB56	0x100124918	0x100125638|0x100125640	0x174EEBA	0x123C18	0x124862|0x124868	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
25	RW_PROPERTY	outline	NCB_PROPERTY	0x14D3E7A	0x6D49B8	0x6D6B1C|0x6D6B10	0xD84830	0x5981BA	0x598F8A|0x598F98	0x10195CB7C	0x100124944	0x100125648|0x100125654	0x174EEE0	0x123C42	0x12486E|0x12487C	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
26	RW_PROPERTY	meshline	NCB_PROPERTY	0x14D647A	0x6D4A30	0x6D6B30|0x6D6B24	0xD85D88	0x5981D8	0x598FA0|0x598FAE	0x10195CB8C	0x100124970	0x10012565C|0x100125668	0x174EEF0	0x123C6C	0x124884|0x124892	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
27	RW_PROPERTY	maskMode	NCB_PROPERTY	0x14BE7EE	0x6D4AA8	0x6D6B38|0x6D6B40	0xD76666	0x5981F6	0x598FB6|0x598FBC	0x10195CB9E	0x10012499C	0x100125670|0x100125678	0x174EF02	0x123C96	0x12489A|0x1248A0	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
28	RW_PROPERTY	colorWeight	NCB_PROPERTY	0x14D648C	0x6D4B28	0x6CAB04|0x6CAAF0	0xD85D9A	0x598214	0x5928F4|0x59290C	0x10195CBB0	0x1001249C8	0x10011D4E4|0x10011D4F8	0x174EF14	0x123CC0	0x11BE94|0x11BEAC	EVIDENCED_4_4	IMPLEMENTED
29	RW_PROPERTY	independentLayerInherit	NCB_PROPERTY	0x14D64A4	0x6D4BA0	0x6D6B48|0x6C9DB4	0xD85DB2	0x598232	0x598FC2|0x5921E8	0x10195CBC8	0x1001249F4	0x100125680|0x10011CB18	0x174EF2C	0x123CEA	0x1248A6|0x11B498	EVIDENCED_4_4	IMPLEMENTED
30	RW_PROPERTY	transformOrder	NCB_PROPERTY	0x14D5E14	0x6D4C18	0x6C9568|0x6C96A4	0xD85850	0x598250	0x591F98|0x59202C	0x10195C336	0x100124A20	0x10011C83C|0x10011C8E8	0x174E69A	0x123D14	0x11B0A0|0x11B194	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
